,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,4:15PM ET,boxscore,W,,1-0,,St. Louis Rams,28,25,12,217,183,34,2,26,405,316,89,1,-2.19,-5.64,9.87
2,Sun,September 18,1:03PM ET,boxscore,L,,1-1,@,Philadelphia Eagles,3,42,8,142,84,58,3,30,583,443,140,1,-24.25,-31.62,12.65
3,Sun,September 25,4:05PM ET,boxscore,L,,1-2,,Dallas Cowboys,31,34,19,390,266,124,3,26,443,348,95,3,1.45,-4.59,-0.04
4,Sun,October 2,8:36PM ET,boxscore,L,,1-3,@,Arizona Cardinals,14,31,8,168,117,51,4,24,463,366,97,3,-25.75,7.44,-1.74
5,Sun,October 9,4:05PM ET,boxscore,L,,1-4,,Indianapolis Colts,3,28,12,177,44,133,5,22,365,245,120,3,-24.88,-5.38,4.34
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 23,1:03PM ET,boxscore,L,,1-5,@,Washington Redskins,17,52,9,194,54,140,2,24,457,253,204,,-13.83,-24.30,4.01
8,Sun,October 30,4:15PM ET,boxscore,W,,2-5,,Tampa Bay Buccaneers,15,10,9,208,50,158,,13,275,232,43,3,-17.94,18.68,3.87
9,Sun,November 6,4:06PM ET,boxscore,L,,2-6,,New York Giants,6,24,9,138,86,52,1,19,344,251,93,,-18.55,-4.17,3.72
10,Sun,November 13,1:03PM ET,boxscore,L,,2-7,@,Chicago Bears,9,17,9,161,28,133,2,12,239,67,172,4,-28.05,9.42,8.83
11,Sun,November 20,4:05PM ET,boxscore,L,,2-8,,Seattle Seahawks,25,27,17,336,226,110,1,21,373,228,145,,8.20,-8.30,-0.97
12,Sun,November 27,1:03PM ET,boxscore,L,,2-9,@,Tennessee Titans,22,33,15,261,187,74,4,15,461,343,118,1,-11.39,3.42,-4.08
13,Sun,December 4,4:05PM ET,boxscore,L,,2-10,,Arizona Cardinals,10,17,11,220,169,51,4,18,404,339,65,2,-15.48,0.44,7.06
14,Sun,December 11,4:06PM ET,boxscore,L,,2-11,@,Seattle Seahawks,3,41,8,113,51,62,2,31,438,253,185,1,-22.89,-26.23,10.37
15,Sun,December 18,1:02PM ET,boxscore,L,,2-12,@,Jacksonville Jaguars,9,10,11,217,107,110,1,21,336,202,134,,-15.96,5.40,6.01
16,Sat,December 24,1:02PM ET,boxscore,W,,3-12,@,St. Louis Rams,24,20,15,321,104,217,,20,389,345,44,2,9.22,-3.81,-2.50
17,Sun,January 1,4:05PM ET,boxscore,W,OT,4-12,,Houston Texans,20,17,19,324,142,182,1,13,284,196,88,2,-6.97,16.04,-4.85
